STK,SYS,HWR,SAF,SWR
STK001,,,,
STK002,SYS011,HWR003,,
STK002,SYS011,HWR004,,
STK002,SYS011,HWR005,,
STK002,SYS011,,,SWR005
STK002,SYS021,HWR004,,
STK002,SYS021,HWR005,,
STK002,SYS021,,,SWR022
STK003,SYS011,HWR003,,
STK003,SYS011,HWR004,,
STK003,SYS011,HWR005,,
STK003,SYS011,,,SWR005
STK003,SYS021,HWR004,,
STK003,SYS021,HWR005,,
STK003,SYS021,,,SWR022
STK004,SYS004,,SAF002,
STK004,SYS004,,,SWR001
STK004,SYS004,,,SWR011
STK004,SYS014,HWR001,,
STK004,SYS014,,SAF008,
STK004,SYS014,,,SWR009
STK004,SYS014,,,SWR010
STK004,SYS014,,,SWR011
STK004,SYS014,,,SWR021
STK004,SYS020,,,SWR021
STK005,SYS003,,,SWR001
STK005,SYS003,,,SWR010
STK005,SYS018,HWR009,,
STK005,SYS018,,,SWR020
STK006,SYS004,,SAF002,
STK006,SYS004,,,SWR001
STK006,SYS004,,,SWR011
STK006,SYS008,,,SWR008
STK006,SYS009,,,SWR008
STK006,SYS010,,,SWR008
STK006,SYS018,HWR009,,
STK006,SYS018,,,SWR020
STK007,SYS006,,SAF001,
STK007,SYS006,,SAF003,
STK007,SYS006,,SAF004,
STK007,SYS006,,SAF009,
STK007,SYS006,,SAF014,
STK007,SYS006,,,SWR002
STK007,SYS018,HWR009,,
STK007,SYS018,,,SWR020
STK008,SYS007,,SAF001,
STK008,SYS007,,SAF003,
STK008,SYS007,,,SWR003
STK008,SYS018,HWR009,,
STK008,SYS018,,,SWR020
STK009,SYS001,HWR001,,
STK009,SYS001,HWR012,,
STK009,SYS001,,,SWR001
STK009,SYS002,,,SWR001
STK009,SYS003,,,SWR001
STK009,SYS003,,,SWR010
STK009,SYS004,,SAF002,
STK009,SYS004,,,SWR001
STK009,SYS004,,,SWR011
STK009,SYS005,,SAF005,
STK009,SYS005,,SAF011,
STK009,SYS005,,SAF012,
STK009,SYS005,,SAF013,
STK009,SYS005,,,SWR001
STK009,SYS005,,,SWR016
STK009,SYS005,,,SWR017
STK009,SYS005,,,SWR019
STK009,SYS019,HWR010,,
STK009,SYS019,,,SWR018
STK009,SYS019,,,SWR019
STK009,SYS019,,,SWR023
STK009,SYS027,,,SWR026
STK010,SYS005,,SAF005,
STK010,SYS005,,SAF011,
STK010,SYS005,,SAF012,
STK010,SYS005,,SAF013,
STK010,SYS005,,,SWR001
STK010,SYS005,,,SWR016
STK010,SYS005,,,SWR017
STK010,SYS005,,,SWR019
STK010,SYS022,,SAF002,
STK010,SYS022,,SAF007,
STK010,SYS022,,,SWR008
STK010,SYS025,,SAF005,
STK010,SYS025,,SAF006,
STK010,SYS025,,,SWR004
STK010,SYS025,,,SWR015
STK010,SYS025,,,SWR016
STK011,SYS026,HWR011,,
STK012,SYS013,HWR003,,
STK012,SYS013,,,SWR006
STK012,SYS015,HWR001,,
STK012,SYS015,HWR003,,
STK012,SYS015,HWR006,,
STK012,SYS015,,SAF010,
STK012,SYS015,,,SWR004
STK012,SYS015,,,SWR005
STK012,SYS015,,,SWR006
STK012,SYS015,,,SWR013
STK012,SYS016,HWR001,,
STK012,SYS016,HWR002,,
STK012,SYS016,HWR006,,
STK012,SYS016,HWR007,,
STK012,SYS016,,SAF010,
STK012,SYS016,,,SWR012
STK012,SYS017,HWR002,,
STK012,SYS017,HWR006,,
STK012,SYS017,,SAF010,
STK012,SYS017,,,SWR007
STK012,SYS017,,,SWR014
STK012,SYS025,,SAF005,
STK012,SYS025,,SAF006,
STK012,SYS025,,,SWR004
STK012,SYS025,,,SWR015
STK012,SYS025,,,SWR016
STK013,SYS016,HWR001,,
STK013,SYS016,HWR002,,
STK013,SYS016,HWR006,,
STK013,SYS016,HWR007,,
STK013,SYS016,,SAF010,
STK013,SYS016,,,SWR012
STK014,SYS023,,,SWR024
STK014,SYS023,,,SWR025
STK014,SYS024,,,SWR009
STK015,,,,
STK016,SYS012,HWR008,,
STK016,SYS012,,,SWR007
STK016,SYS017,HWR002,,
STK016,SYS017,HWR006,,
STK016,SYS017,,SAF010,
STK016,SYS017,,,SWR007
STK016,SYS017,,,SWR014
STK017,SYS013,HWR003,,
STK017,SYS013,,,SWR006
STK018,SYS027,,,SWR026
